time,kf_cov_x,kf_cov_y,kf_cov_theta,ekf_cov_x,ekf_cov_y,ekf_cov_theta,pf_cov_x,pf_cov_y,pf_cov_theta
12.4050,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0062,0.0001,0.0040
12.5002,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0066,0.0001,0.0040
12.6002,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0070,0.0001,0.0040
12.7002,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0068,0.0001,0.0038
12.8002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0067,0.0001,0.0037
12.9001,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0066,0.0001,0.0035
13.0001,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0064,0.0001,0.0035
13.1001,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0061,0.0001,0.0038
13.2006,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0061,0.0001,0.0037
13.3002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0061,0.0001,0.0036
13.4002,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0059,0.0001,0.0035
13.5002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0059,0.0001,0.0037
13.6004,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0059,0.0001,0.0037
13.7001,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0062,0.0001,0.0037
13.8001,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0064,0.0001,0.0037
13.9001,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0067,0.0001,0.0039
14.0001,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0065,0.0001,0.0038
14.1001,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0060,0.0001,0.0038
14.2001,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0059,0.0001,0.0037
14.3001,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0062,0.0001,0.0035
14.4001,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0066,0.0001,0.0037
14.5001,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0068,0.0001,0.0036
14.6002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0062,0.0001,0.0037
14.7001,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0064,0.0001,0.0038
14.8032,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0063,0.0001,0.0037
14.9001,0.0199,0.0199,0.0000,0.0179,0.0179,0.0179,0.0068,0.0001,0.0039
15.0006,0.0196,0.0196,0.0000,0.0179,0.0179,0.0179,0.0065,0.0001,0.0040
15.1009,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0064,0.0001,0.0042
15.2001,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0062,0.0001,0.0040
15.3001,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0058,0.0001,0.0039
15.4001,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0065,0.0001,0.0041
15.5002,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0062,0.0001,0.0041
15.6002,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0069,0.0001,0.0041
15.7001,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0066,0.0001,0.0040
15.8001,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0066,0.0001,0.0039
15.9002,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0064,0.0001,0.0037
16.0001,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0060,0.0001,0.0036
16.1001,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0069,0.0001,0.0037
16.2064,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0066,0.0001,0.0034
16.3011,0.0202,0.0202,0.0000,0.0179,0.0179,0.0179,0.0075,0.0001,0.0038
16.4002,0.0198,0.0198,0.0000,0.0179,0.0179,0.0179,0.0074,0.0001,0.0038
16.5001,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0074,0.0001,0.0038
16.6055,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0076,0.0001,0.0039
16.7001,0.0206,0.0206,0.0000,0.0179,0.0179,0.0179,0.0090,0.0001,0.0047
16.8001,0.0196,0.0196,0.0000,0.0179,0.0179,0.0179,0.0087,0.0002,0.0046
16.9045,0.0196,0.0196,0.0000,0.0179,0.0179,0.0179,0.0084,0.0002,0.0046
17.0003,0.0204,0.0204,0.0000,0.0179,0.0179,0.0179,0.0086,0.0002,0.0052
17.1002,0.0198,0.0198,0.0000,0.0179,0.0179,0.0179,0.0083,0.0002,0.0053
17.2002,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0073,0.0002,0.0053
17.3002,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0075,0.0002,0.0051
17.4006,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0069,0.0002,0.0052
17.5002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0069,0.0002,0.0050
17.6001,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0072,0.0002,0.0051
17.7002,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0074,0.0002,0.0052
17.8002,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0073,0.0002,0.0049
17.9001,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0069,0.0002,0.0047
18.0002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0067,0.0002,0.0044
18.1001,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0067,0.0002,0.0044
18.2001,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0068,0.0002,0.0043
18.3003,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0066,0.0002,0.0043
18.4049,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0071,0.0002,0.0044
18.5004,0.0201,0.0201,0.0000,0.0179,0.0179,0.0179,0.0078,0.0002,0.0045
18.6033,0.0198,0.0198,0.0000,0.0179,0.0179,0.0179,0.0077,0.0002,0.0044
18.7003,0.0203,0.0203,0.0000,0.0179,0.0179,0.0179,0.0080,0.0002,0.0048
18.8001,0.0199,0.0199,0.0000,0.0179,0.0179,0.0179,0.0070,0.0002,0.0048
18.9002,0.0198,0.0198,0.0000,0.0179,0.0179,0.0179,0.0069,0.0002,0.0051
19.0001,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0072,0.0002,0.0050
19.1002,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0072,0.0002,0.0047
19.2002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0068,0.0002,0.0042
19.3001,0.0188,0.0188,0.0000,0.0179,0.0179,0.0179,0.0065,0.0002,0.0039
19.4002,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0069,0.0002,0.0040
19.5005,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0069,0.0002,0.0041
19.6004,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0069,0.0002,0.0040
19.7001,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0066,0.0002,0.0038
19.8002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0063,0.0002,0.0041
19.9002,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0060,0.0002,0.0038
20.0002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0065,0.0002,0.0035
20.1001,0.0187,0.0187,0.0000,0.0179,0.0179,0.0179,0.0057,0.0002,0.0034
20.2003,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0057,0.0002,0.0034
20.3002,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0057,0.0002,0.0033
20.4010,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0062,0.0002,0.0034
20.5002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0062,0.0002,0.0035
20.6002,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0066,0.0002,0.0038
20.7002,0.0188,0.0188,0.0000,0.0179,0.0179,0.0179,0.0059,0.0002,0.0038
20.8003,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0058,0.0002,0.0039
20.9002,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0061,0.0002,0.0037
21.0002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0058,0.0002,0.0036
21.1002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0059,0.0002,0.0035
21.2002,0.0188,0.0188,0.0000,0.0179,0.0179,0.0179,0.0054,0.0002,0.0033
21.3002,0.0188,0.0188,0.0000,0.0179,0.0179,0.0179,0.0057,0.0002,0.0033
21.4002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0059,0.0002,0.0036
21.5001,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0055,0.0002,0.0037
21.6002,0.0188,0.0188,0.0000,0.0179,0.0179,0.0179,0.0056,0.0002,0.0037
21.7003,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0059,0.0002,0.0036
21.8002,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0057,0.0002,0.0039
21.9002,0.0196,0.0196,0.0000,0.0179,0.0179,0.0179,0.0060,0.0002,0.0040
22.0002,0.0196,0.0196,0.0000,0.0179,0.0179,0.0179,0.0062,0.0002,0.0041
22.1005,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0061,0.0002,0.0041
22.2015,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0054,0.0002,0.0037
22.3001,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0050,0.0002,0.0034
22.4002,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0050,0.0002,0.0034
22.5061,0.0188,0.0188,0.0000,0.0179,0.0179,0.0179,0.0044,0.0002,0.0034
22.6005,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0045,0.0002,0.0036
22.7003,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0049,0.0002,0.0036
22.8002,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0049,0.0002,0.0036
22.9003,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0049,0.0002,0.0036
23.0002,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0052,0.0002,0.0036
