time,rmse_kf,rmse_ekf,rmse_pf,error_x_kf,error_y_kf,error_x_ekf,error_y_ekf,error_x_pf,error_y_pf
11.5001,0.0000,0.0000,0.0186,0.0000,-0.0000,0.0000,-0.0000,0.0010,-0.0178
11.6001,0.0000,0.0000,0.0186,0.0000,-0.0000,0.0000,-0.0000,0.0021,-0.0178
11.7049,0.0000,0.0000,0.0186,0.0000,-0.0000,0.0000,-0.0000,0.0014,-0.0178
11.8002,0.0000,0.0000,0.0186,0.0000,-0.0000,0.0000,-0.0000,0.0002,-0.0179
11.9021,0.0000,0.0000,0.0186,0.0000,-0.0000,0.0000,-0.0000,-0.0005,-0.0179
12.0002,0.0000,0.0000,0.0186,0.0000,-0.0000,0.0000,-0.0000,-0.0039,-0.0180
12.1002,0.0000,0.0000,0.0186,-0.0000,0.0000,-0.0000,0.0000,-0.0047,-0.0180
12.2001,0.0000,0.0000,0.0186,-0.0000,0.0000,-0.0000,0.0000,-0.0029,-0.0180
12.3001,0.0000,0.0000,0.0186,0.0000,-0.0000,0.0000,-0.0000,-0.0041,-0.0179
12.4002,0.0000,0.0000,0.0185,0.0000,-0.0000,0.0000,-0.0000,-0.0042,-0.0179
12.5001,0.0000,0.0000,0.0185,0.0000,-0.0000,0.0000,-0.0000,-0.0008,-0.0179
12.6001,0.0000,0.0000,0.0185,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0178
12.7001,0.0000,0.0000,0.0185,0.0000,-0.0000,0.0000,-0.0000,0.0004,-0.0179
12.8002,0.0000,0.0000,0.0185,0.0000,-0.0000,0.0000,-0.0000,-0.0001,-0.0179
12.9005,0.0000,0.0000,0.0185,0.0000,-0.0000,0.0000,-0.0000,0.0001,-0.0178
13.0032,0.0000,0.0000,0.0185,0.0000,-0.0000,0.0000,-0.0000,0.0021,-0.0178
13.1013,0.0000,0.0000,0.0185,0.0000,-0.0000,0.0000,-0.0000,0.0035,-0.0178
13.2011,0.0000,0.0000,0.0185,0.0000,-0.0000,0.0000,-0.0000,0.0029,-0.0178
13.3008,0.0000,0.0000,0.0185,0.0000,-0.0000,0.0000,-0.0000,0.0030,-0.0177
13.4008,0.0000,0.0000,0.0185,0.0000,-0.0000,0.0000,-0.0000,0.0013,-0.0177
13.5002,0.0000,0.0000,0.0185,0.0000,-0.0000,0.0000,-0.0000,0.0010,-0.0177
13.6021,0.0000,0.0000,0.0185,0.0000,-0.0000,0.0000,-0.0000,0.0017,-0.0178
13.7001,0.0000,0.0000,0.0185,-0.0000,0.0000,-0.0000,0.0000,0.0005,-0.0178
13.8001,0.0000,0.0000,0.0185,-0.0000,0.0000,-0.0000,0.0000,0.0012,-0.0178
13.9036,0.0000,0.0000,0.0185,0.0000,-0.0000,0.0000,-0.0000,0.0024,-0.0178
14.0002,0.0000,0.0000,0.0184,0.0000,-0.0000,0.0000,-0.0000,0.0016,-0.0178
14.1001,0.0000,0.0000,0.0184,0.0000,-0.0000,0.0000,-0.0000,0.0002,-0.0178
14.2001,0.0000,0.0000,0.0184,0.0000,-0.0000,0.0000,-0.0000,0.0002,-0.0177
14.3001,0.0000,0.0000,0.0184,0.0000,-0.0000,0.0000,-0.0000,0.0004,-0.0177
14.4002,0.0000,0.0000,0.0184,0.0000,-0.0000,0.0000,-0.0000,0.0005,-0.0176
14.5001,0.0000,0.0000,0.0184,0.0000,-0.0000,0.0000,-0.0000,-0.0010,-0.0176
14.6001,0.0000,0.0000,0.0184,0.0000,-0.0000,0.0000,-0.0000,-0.0006,-0.0176
14.7002,0.0000,0.0000,0.0184,0.0000,-0.0000,0.0000,-0.0000,-0.0007,-0.0175
14.8001,0.0000,0.0000,0.0184,0.0000,-0.0000,0.0000,-0.0000,-0.0009,-0.0174
14.9002,0.0000,0.0000,0.0184,0.0000,-0.0000,0.0000,-0.0000,0.0003,-0.0174
15.0001,0.0000,0.0000,0.0184,0.0000,-0.0000,0.0000,-0.0000,-0.0005,-0.0174
15.1002,0.0005,0.0005,0.0184,0.0054,-0.0000,0.0056,-0.0000,0.0099,-0.0173
