time,kf_cov_x,kf_cov_y,kf_cov_theta,ekf_cov_x,ekf_cov_y,ekf_cov_theta,pf_cov_x,pf_cov_y,pf_cov_theta
14.7002,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0092,0.0005,0.0061
14.8002,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0084,0.0005,0.0059
14.9002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0086,0.0005,0.0055
15.0003,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0089,0.0005,0.0053
15.1026,0.0196,0.0196,0.0000,0.0179,0.0179,0.0179,0.0097,0.0005,0.0054
15.2001,0.0200,0.0200,0.0000,0.0179,0.0179,0.0179,0.0103,0.0005,0.0056
15.3002,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0101,0.0005,0.0054
15.4039,0.0199,0.0199,0.0000,0.0179,0.0179,0.0179,0.0097,0.0005,0.0055
15.5029,0.0198,0.0198,0.0000,0.0179,0.0179,0.0179,0.0093,0.0005,0.0053
15.6002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0084,0.0005,0.0048
15.7001,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0078,0.0005,0.0046
15.8002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0065,0.0004,0.0042
15.9002,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0070,0.0004,0.0038
16.0003,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0065,0.0004,0.0037
16.1009,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0065,0.0004,0.0037
16.2002,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0063,0.0004,0.0037
16.3010,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0071,0.0004,0.0038
16.4002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0065,0.0004,0.0037
16.5026,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0064,0.0004,0.0037
16.6002,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0072,0.0004,0.0037
16.7002,0.0198,0.0198,0.0000,0.0179,0.0179,0.0179,0.0080,0.0004,0.0039
16.8002,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0082,0.0004,0.0041
16.9002,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0083,0.0004,0.0043
17.0001,0.0198,0.0198,0.0000,0.0179,0.0179,0.0179,0.0091,0.0004,0.0047
17.1045,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0080,0.0004,0.0047
17.2023,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0079,0.0004,0.0048
17.3002,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0081,0.0004,0.0048
17.4001,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0069,0.0004,0.0047
17.5009,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0069,0.0004,0.0046
17.6001,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0066,0.0004,0.0048
17.7029,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0063,0.0004,0.0046
17.8012,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0065,0.0004,0.0046
17.9026,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0065,0.0004,0.0042
18.0007,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0066,0.0004,0.0043
18.1002,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0067,0.0004,0.0042
18.2032,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0068,0.0004,0.0042
18.3008,0.0201,0.0201,0.0000,0.0179,0.0179,0.0179,0.0078,0.0004,0.0044
18.4027,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0076,0.0004,0.0043
18.5002,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0070,0.0004,0.0039
18.6001,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0070,0.0004,0.0038
18.7001,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0069,0.0004,0.0042
18.8002,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0073,0.0004,0.0041
18.9024,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0073,0.0004,0.0042
19.0022,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0077,0.0004,0.0044
19.1009,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0077,0.0004,0.0045
19.2001,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0074,0.0004,0.0047
19.3002,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0063,0.0004,0.0047
19.4001,0.0188,0.0188,0.0000,0.0179,0.0179,0.0179,0.0061,0.0004,0.0042
19.5002,0.0188,0.0188,0.0000,0.0179,0.0179,0.0179,0.0063,0.0004,0.0042
19.6001,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0070,0.0004,0.0043
19.7026,0.0196,0.0196,0.0000,0.0179,0.0179,0.0179,0.0075,0.0004,0.0043
19.8001,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0070,0.0004,0.0042
19.9001,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0071,0.0004,0.0041
20.0001,0.0198,0.0198,0.0000,0.0179,0.0179,0.0179,0.0074,0.0004,0.0044
20.1002,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0072,0.0004,0.0042
20.2001,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0075,0.0004,0.0045
20.3001,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0074,0.0004,0.0045
20.4002,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0078,0.0004,0.0045
20.5001,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0072,0.0004,0.0046
20.6001,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0072,0.0004,0.0046
20.7050,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0064,0.0004,0.0042
20.8008,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0066,0.0004,0.0043
20.9002,0.0188,0.0188,0.0000,0.0179,0.0179,0.0179,0.0064,0.0004,0.0041
21.0003,0.0187,0.0187,0.0000,0.0179,0.0179,0.0179,0.0063,0.0004,0.0039
21.1001,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0064,0.0004,0.0038
21.2001,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0057,0.0004,0.0035
21.3017,0.0188,0.0188,0.0000,0.0179,0.0179,0.0179,0.0056,0.0004,0.0034
21.4001,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0059,0.0004,0.0036
21.5003,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0059,0.0004,0.0036
21.6001,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0063,0.0004,0.0037
21.7001,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0059,0.0004,0.0037
21.8025,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0064,0.0004,0.0039
21.9001,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0060,0.0004,0.0038
22.0001,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0055,0.0004,0.0038
22.1003,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0060,0.0004,0.0036
22.2027,0.0197,0.0197,0.0000,0.0179,0.0179,0.0179,0.0066,0.0004,0.0040
22.3002,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0061,0.0004,0.0041
22.4009,0.0196,0.0196,0.0000,0.0179,0.0179,0.0179,0.0067,0.0004,0.0043
22.5001,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0075,0.0004,0.0044
22.6001,0.0196,0.0196,0.0000,0.0179,0.0179,0.0179,0.0073,0.0004,0.0045
22.7003,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0073,0.0004,0.0044
22.8001,0.0198,0.0198,0.0000,0.0179,0.0179,0.0179,0.0072,0.0004,0.0045
22.9001,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0074,0.0004,0.0044
23.0002,0.0195,0.0195,0.0000,0.0179,0.0179,0.0179,0.0075,0.0004,0.0045
23.1002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0072,0.0004,0.0042
23.2008,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0075,0.0004,0.0041
23.3000,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0073,0.0004,0.0041
23.4002,0.0188,0.0188,0.0000,0.0179,0.0179,0.0179,0.0069,0.0004,0.0039
23.5003,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0066,0.0004,0.0040
23.6002,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0068,0.0004,0.0039
23.7002,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0060,0.0004,0.0037
23.8001,0.0187,0.0187,0.0000,0.0179,0.0179,0.0179,0.0057,0.0004,0.0035
23.9004,0.0198,0.0198,0.0000,0.0179,0.0179,0.0179,0.0065,0.0004,0.0039
24.0027,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0063,0.0004,0.0037
24.1004,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0065,0.0004,0.0036
24.2045,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0058,0.0004,0.0036
24.3026,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0055,0.0004,0.0037
24.4004,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0054,0.0004,0.0035
24.5003,0.0189,0.0189,0.0000,0.0179,0.0179,0.0179,0.0052,0.0004,0.0035
24.6003,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0057,0.0004,0.0035
24.7011,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0057,0.0004,0.0034
24.8010,0.0193,0.0193,0.0000,0.0179,0.0179,0.0179,0.0061,0.0004,0.0035
24.9001,0.0190,0.0190,0.0000,0.0179,0.0179,0.0179,0.0058,0.0004,0.0036
25.0027,0.0194,0.0194,0.0000,0.0179,0.0179,0.0179,0.0062,0.0004,0.0036
25.1002,0.0191,0.0191,0.0000,0.0179,0.0179,0.0179,0.0060,0.0004,0.0035
25.2002,0.0192,0.0192,0.0000,0.0179,0.0179,0.0179,0.0062,0.0004,0.0037
